subject_id,win5,win10
0,0.49753974376536636,0.2874071826290733
1,0.7074767848219619,0.6655731337027135
2,0.4845980022734314,0.41351110787904
3,0.09577172578819892,0.37246163842761315
4,0.06405489944933429,0.22916170976265104
5,0.4845980022734314,0.41351110787904
6,0.014136395242756672,0.23769824151289876
7,0.4845980022734314,0.41351110787904
8,0.4172155447699024,0.6733360506927342
9,0.10389603818678317,0.036192326703408995
10,0.06091756939684867,0.012756805842212282
11,0.0929779605272395,0.11304617667351646
