subject_id,RMSE_100%,RMSE_100%,RMSE_100%
0,30.93320079417467,30.93320079417467,30.93320079417467
1,42.045578786798814,42.045578786798814,42.045578786798814
2,31.285211283340857,31.285211283340857,31.285211283340857
3,24.9899350584226,24.9899350584226,24.9899350584226
4,34.49422652208395,34.49422652208395,34.49422652208395
5,31.285211283340857,31.285211283340857,31.285211283340857
6,45.44748464920366,45.44748464920366,45.44748464920366
7,31.285211283340857,31.285211283340857,31.285211283340857
8,41.82224807594301,41.82224807594301,41.82224807594301
9,42.90314799330284,42.90314799330284,42.90314799330284
10,43.00444144985935,43.00444144985935,43.00444144985935
11,29.57888505721835,29.57888505721835,29.57888505721835
